investor,company,weight,date
/organization/inveready-technology-investment-group,/organization/passwordbank,2500000,2009-07-01
/organization/comtex,/organization/gdgt,78571,2009-07-01
/person/rick-eaton,/organization/tracked-com,722222,2009-07-01
/person/michael-gartenberg,/organization/gdgt,78571,2009-07-01
/person/bill-harris-2,/organization/personal-capital,2000000,2009-07-01
/organization/innogy-venture-capital,/organization/stirling-dk,0,2009-07-01
/organization/dcm,/organization/bitauto-holdings,5666666,2009-07-01
/person/william-lohse,/organization/comixology,0,2009-07-01
/organization/alphalab,/organization/vivo,25000,2009-07-01
/organization/conor-venture-partners,/organization/crystalsol,2819200,2009-07-01
/organization/plataforma-capital-partners,/organization/scup,0,2009-07-01
/person/travis-bradford,/organization/solmentum,81250,2009-07-01
/organization/true-ventures,/organization/tunein-twitter-dashboard,250000,2009-07-01
/person/allen-morgan,/organization/tracked-com,722222,2009-07-01
/organization/enterprise-ireland,/organization/whoseview-com,28192,2009-07-01
/person/jack-haire,/organization/tracked-com,722222,2009-07-01
/person/jim-bankoff,/organization/gdgt,78571,2009-07-01
/organization/ah-belo,/organization/homesnap,2000000,2009-07-01
/organization/ventech-capital,/organization/shenzhoufu,5000000,2009-07-01
/person/armando-pauker,/organization/solmentum,81250,2009-07-01
/organization/elderstreet-asset-management,/organization/access-intelligence,2890000,2009-07-01
/person/henri-lastenouse,/organization/storify,13000,2009-07-01
/organization/rhodium,/organization/tracked-com,722222,2009-07-01
/organization/braveheart-investment-group,/organization/nxvision,137195,2009-07-01
/organization/biocant-ventures,/organization/thelial-technologies,84549,2009-07-01
/organization/y-combinator,/organization/mixpanel,15000,2009-07-01
/person/dennis-phelps,/organization/tracked-com,722222,2009-07-01
/person/shamil-chandaria,/organization/peerindex,0,2009-07-01
/organization/lightspeed-venture-partners,/organization/ning,15000000,2009-07-01
/person/various-private-investors,/organization/resaas,648414,2009-07-01
/organization/shenzhen-capital-group,/organization/shenzhen-sunway-communication-co-ltd,4216691,2009-07-01
