,investor,company,invest_date
11630,/organization/investinor,/organization/santosolve,2010-01-31
57365,/organization/gatebridge-investments,/organization/ortho-kinematics,2010-01-31
14148,/organization/innovations-kapital,/organization/santosolve,2010-01-31
9523,/organization/life-sciences-partners,/organization/kreatech-diagnostics,2010-01-31
68974,/organization/the-texas-emerging-technology-fund,/organization/ortho-kinematics,2010-01-31
49583,/organization/springfondet,/organization/setred,2010-01-31
50527,/organization/ptv-sciences,/organization/ortho-kinematics,2010-01-31
76128,/organization/bouygues-telecom-initiatives,/organization/activnetworks,2010-01-31
13799,/organization/health-enterprise-partners,/organization/mobilemd,2010-01-31
41163,/organization/teknoinvest,/organization/santosolve,2010-01-31
59817,/organization/medinnova,/organization/setred,2010-01-31
49922,/organization/maryland-department-of-business-and-economic-development,/organization/zymetis,2010-01-31
102303,/organization/alafi-capital,/organization/kreatech-diagnostics,2010-01-31
19158,/organization/riekeles-finans,/organization/setred,2010-01-31
12731,/organization/oddo-asset-management,/organization/activnetworks,2010-01-31
102021,/organization/openfund,/organization/listiki,2010-02-01
63229,/person/dan-porter,/organization/producteev,2010-02-01
57951,/organization/y-combinator,/organization/gamador,2010-02-01
26755,/person/mathew-grodin,/organization/doodledeals-inc,2010-02-01
4286,/person/justin-yoshimura,/organization/zencoder,2010-02-01
91378,/person/nihal-mehta,/organization/fixmo,2010-02-01
11327,/person/jeremie-berrebi,/organization/leetchi,2010-02-01
94743,/person/daniel-zumino,/organization/storybox,2010-02-01
26055,/organization/angel-hub,/organization/styletrek,2010-02-01
29788,/organization/openfund,/organization/youscan,2010-02-01
4124,/person/james-hong,/organization/doodledeals-inc,2010-02-01
88482,/organization/boxgroup,/organization/doodledeals-inc,2010-02-01
76515,/person/li-ka-shing,/organization/secondmarket,2010-02-01
103874,/organization/kima-ventures,/organization/leetchi,2010-02-01
34934,/organization/shah-capital-management,/organization/utstarcom,2010-02-01
22228,/organization/ndrc,/organization/logentries,2010-02-01
52419,/organization/temasek,/organization/china-intelligent-transport-system-group,2010-02-01
93408,/organization/plug-and-play-ventures,/organization/twiki-net,2010-02-01
11423,/person/bill-walton,/organization/sparkcloud,2010-02-01
88224,/person/kevin-ryan,/organization/mojo-motors,2010-02-01
61599,/organization/innogest-sgr,/organization/cascaad,2010-02-01
25763,/person/oleg-tscheltzoff,/organization/leetchi,2010-02-01
25901,/person/wgi-group-llc,/organization/doodledeals-inc,2010-02-01
91539,/person/kevin-wendle,/organization/mojo-motors,2010-02-01
60818,/organization/leopard-capital,/organization/acleda-bank,2010-02-01
87537,/person/john-ason,/organization/doodledeals-inc,2010-02-01
2784,/person/peter-lehrman,/organization/doodledeals-inc,2010-02-01
15811,/organization/arbor-ventures,/organization/perfect-storm-media,2010-02-01
52612,/organization/bridges-ventures,/organization/pre-let-care-homes,2010-02-01
58743,/organization/shenzhen-capital-group,/organization/shenzhen-7road-technology-co-ltd,2010-02-01
1816,/organization/kddi,/organization/fuhu,2010-02-01
83093,/person/sk-partners,/organization/doodledeals-inc,2010-02-01
76250,/organization/draper-triangle-ventures,/organization/co-exprise,2010-02-01
74513,/organization/mig-ag,/organization/pdc-biotech,2010-02-01
44133,/organization/paua-ventures,/organization/producteev,2010-02-01
38812,/organization/ram-max-group,/organization/utstarcom,2010-02-01
