,investor,company,invest_date
59775,/person/ranjan-pai,/organization/tripfactory,2015-07-31
63403,/organization/htc,/organization/wevr,2015-07-31
71058,/organization/cultivation-capital,/organization/hatchbuck,2015-07-31
71740,/organization/oliphans-capital,/organization/prothom-industries,2015-07-31
15928,/organization/norwest-venture-partners,/organization/carecloud,2015-07-31
18846,/organization/y-combinator,/organization/cofactor-genomics,2015-07-31
39613,/organization/kkr,/organization/jbf,2015-07-31
79,/organization/ervington-investments,/organization/driveway-software,2015-07-31
34917,/person/cliff-holekamp,/organization/hatchbuck,2015-07-31
54168,/organization/intel-capital,/organization/carecloud,2015-07-31
21690,/organization/social-starts,/organization/pocketgm,2015-07-31
26014,/person/steve-case,/organization/mati-energy,2015-07-31
24380,/organization/microsoft,/organization/uber,2015-07-31
22842,/person/mohandas-pai-2,/organization/tripfactory,2015-07-31
22374,/organization/aarin-capital,/organization/tripfactory,2015-07-31
95955,/organization/silicon-valley-bank,/organization/integralads,2015-07-31
58377,/organization/bluerun-ventures,/organization/improvonia,2015-07-31
6730,/organization/kima-ventures,/organization/bluevox,2015-07-31
84394,/organization/bennett-coleman-and-co-ltd,/organization/uber,2015-07-31
65921,/organization/mercia-fund-management,/organization/nuvision-2,2015-07-31
103953,/organization/cyberport-hong-kong,/organization/bevoid,2015-08-01
23168,/organization/cyberport-hong-kong,/organization/teamnote,2015-08-01
53730,/organization/cyberport-hong-kong,/organization/extract-alpha,2015-08-01
25444,/organization/cyberport-hong-kong,/organization/easyship-fulfillment-services,2015-08-01
43395,/organization/cyberport-hong-kong,/organization/ourcam,2015-08-01
55256,/organization/cyberport-hong-kong,/organization/voiceup,2015-08-01
18807,/organization/bozano-investimentos-2,/organization/hco-serviÃ§os-logÃ­sticos-s-a,2015-08-01
48501,/organization/cyberport-hong-kong,/organization/sky-matters-limited,2015-08-01
88795,/organization/cyberport-hong-kong,/organization/sochub,2015-08-01
47717,/organization/fg-angels,/organization/localize,2015-08-01
6883,/organization/cyberport-hong-kong,/organization/grwth-limited,2015-08-01
11343,/organization/klingenstein-fields-co-l-l-c-,/organization/serendipity-labs,2015-08-01
5696,/organization/cyberport-hong-kong,/organization/travelus,2015-08-01
99701,/organization/cyberport-hong-kong,/organization/shenzhen-qianhai-artide-culture-development-limited,2015-08-01
60762,/organization/cyberport-hong-kong,/organization/parkner,2015-08-01
88455,/organization/cyberport-hong-kong,/organization/deltron-intelligence-technology,2015-08-01
39041,/organization/confluence-capital,/organization/localize,2015-08-01
73536,/organization/plug-and-play-ventures,/organization/wodby,2015-08-01
50132,/organization/cyberport-hong-kong,/organization/gaifong-app,2015-08-01
5973,/organization/cyberport-hong-kong,/organization/protec,2015-08-01
98381,/organization/cyberport-hong-kong,/organization/plotable-ltd-product-simplus-io,2015-08-01
81831,/organization/cyberport-hong-kong,/organization/ashin,2015-08-01
99188,/organization/cyberport-hong-kong,/organization/makeomnia-limited,2015-08-01
26895,/organization/cyberport-hong-kong,/organization/visie-2,2015-08-01
22392,/organization/cyberport-hong-kong,/organization/big-dipper-studio,2015-08-01
71991,/organization/cyberport-hong-kong,/organization/fiture,2015-08-01
2502,/organization/cyberport-hong-kong,/organization/seed-blooming,2015-08-01
22603,/organization/cyberport-hong-kong,/organization/yintran-group,2015-08-01
15599,/organization/fresco-capital-advisors,/organization/miq,2015-08-01
3776,/organization/social-starts,/organization/nimbledroid,2015-08-01
43496,/organization/cyberport-hong-kong,/organization/cwb-tech-limited,2015-08-01
72436,/organization/techstars,/organization/localize,2015-08-01
45209,/organization/cyberport-hong-kong,/organization/printact,2015-08-01
44163,/organization/cyberport-hong-kong,/organization/polljoy-limited,2015-08-01
17779,/organization/cyberport-hong-kong,/organization/molecule-z,2015-08-01
39790,/organization/cyberport-hong-kong,/organization/wunder-3,2015-08-01
31204,/organization/cyberport-hong-kong,/organization/virtron-vr-ar-education-app,2015-08-01
52282,/organization/cyberport-hong-kong,/organization/rocketclub,2015-08-01
8468,/organization/cyberport-hong-kong,/organization/3d-intelligent-pathological-medical-image-solutions,2015-08-01
40022,/organization/cyberport-hong-kong,/organization/zero-one-network-international-limited,2015-08-01
1918,/organization/cyberport-hong-kong,/organization/jobmap,2015-08-01
78970,/organization/cyberport-hong-kong,/organization/i-o-t-shirt,2015-08-01
12148,/organization/toba-capital,/organization/ava-ai,2015-08-01
2481,/organization/usc-viterbi,/organization/bezalel-corp,2015-08-01
81427,/person/jesse-hertzberg,/organization/localize,2015-08-01
77592,/person/rob-meinhardt-2,/organization/ava-ai,2015-08-01
24717,/organization/cyberport-hong-kong,/organization/gogo-fit,2015-08-01
21742,/organization/cyberport-hong-kong,/organization/easycare,2015-08-01
105116,/organization/zpark-venture,/organization/localize,2015-08-01
27342,/organization/cyberport-hong-kong,/organization/world-first-smart-slider,2015-08-01
4810,/person/ryan-mcintyre,/organization/localize,2015-08-01
58278,/organization/cyberport-hong-kong,/organization/appitiza,2015-08-01
82832,/organization/cyberport-hong-kong,/organization/excelsior,2015-08-01
24631,/organization/cyberport-hong-kong,/organization/lulio,2015-08-01
44700,/organization/fresco-capital-advisors,/organization/lingolive,2015-08-01
37669,/organization/cyberport-hong-kong,/organization/ecaas,2015-08-01
29467,/organization/cyberport-hong-kong,/organization/ma-maria,2015-08-01
101736,/organization/cyberport-hong-kong,/organization/gormei,2015-08-01
37690,/organization/cyberport-hong-kong,/organization/pie-3,2015-08-01
1167,/person/bob-pasker,/organization/localize,2015-08-01
25244,/organization/cyberport-hong-kong,/organization/epona-biotech-2,2015-08-01
82589,/organization/idg-ventures-usa,/organization/beepi,2015-08-01
11799,/person/alireza-masrour,/organization/wodby,2015-08-01
98845,/organization/cyberport-hong-kong,/organization/coachus,2015-08-01
75771,/organization/cyberport-hong-kong,/organization/e-fever,2015-08-01
89310,/person/vikram-chachra,/organization/ressy,2015-08-02
54664,/person/jeljo-johny-kottoor,/organization/ressy,2015-08-02
