	investor	{'date': 'invest_date', 'weight': 'company'}
35237	/person/morten-lund	{'date': '2008-01-01', 'weight': '/organization/livestub'}
35230	/organization/rre-ventures	{'date': '2006-06-14', 'weight': '/organization/ember'}
73461	/organization/kennet-venture-partners	{'date': '2007-08-01', 'weight': '/organization/wireless-audio-ip-bv'}
24029	/organization/intersouth-partners	{'date': '2006-05-02', 'weight': '/organization/kai-pharmaceuticals'}
73391	/organization/bonsai-capital	{'date': '2007-10-16', 'weight': '/organization/salir-com'}
35238	/organization/artis	{'date': '2006-03-31', 'weight': '/organization/integration-associates'}
89371	/person/mark-leslie	{'date': '2007-01-01', 'weight': '/organization/db4objects'}
67407	/organization/nokia	{'date': '2008-09-30', 'weight': '/organization/zvents'}
11547	/organization/balyasny-asset-management	{'date': '2005-07-27', 'weight': '/organization/pharmacopeia'}
89376	/organization/diamondhead-ventures	{'date': '2006-06-19', 'weight': '/organization/nitronex'}
13358	/organization/capital-e	{'date': '2007-01-09', 'weight': '/organization/asicahead'}
32504	/organization/groupe-siparex	{'date': '2007-12-11', 'weight': '/organization/inside-secure'}
11549	/person/joel-spiegel	{'date': '2008-03-01', 'weight': '/organization/teachstreet'}
103897	/organization/scale-venture-partners	{'date': '2005-03-21', 'weight': '/organization/outerbay-technologies'}
19927	/person/gil-penchina	{'date': '2006-03-01', 'weight': '/organization/wikia'}
19395	/organization/amidzad-partners	{'date': '2006-08-01', 'weight': '/organization/freewebs'}
103899	/organization/delta-partners	{'date': '2005-02-15', 'weight': '/organization/similarity-systems'}
22266	/organization/greylock-partners-israel	{'date': '2007-07-01', 'weight': '/organization/esnips'}
103540	/organization/constellation-ventures	{'date': '2005-06-14', 'weight': '/organization/webify-solutions'}
87961	/organization/redpoint-ventures	{'date': '2006-04-01', 'weight': '/organization/zimbra'}
103542	/organization/sofinnova-ventures	{'date': '2007-03-09', 'weight': '/organization/headsprout'}
82446	/organization/nesta-investments	{'date': '2008-04-04', 'weight': '/organization/gnodal'}
61176	/organization/north-hill-ventures	{'date': '2005-10-28', 'weight': '/organization/austin-logistics-incorporated'}
82196	/organization/wachovia-capital-partners	{'date': '2005-07-01', 'weight': '/organization/relativity-technologies'}
63480	/organization/hummer-winblad-venture-partners	{'date': '2008-09-24', 'weight': '/organization/inmage-systems'}
31840	/person/ray-lane	{'date': '2007-09-01', 'weight': '/organization/ausra'}
43875	/organization/foundation-capital	{'date': '2007-03-05', 'weight': '/organization/rohati-systems'}
73465	/organization/aberdeen-asset-management	{'date': '2006-05-30', 'weight': '/organization/oled-t'}
43871	/organization/palomar-ventures	{'date': '2007-06-07', 'weight': '/organization/storspeed'}
55613	/organization/sv-angel	{'date': '2007-03-01', 'weight': '/organization/admob'}
101490	/organization/dickey-revocable-living-trust	{'date': '2008-06-24', 'weight': '/organization/seesaw-networks'}
74018	/person/guy-kawasaki	{'date': '2005-07-01', 'weight': '/organization/simply-hired'}
47279	/person/lukasz-gadowski	{'date': '2007-10-01', 'weight': '/organization/own-free-website'}
74015	/organization/natixis-private-equity	{'date': '2007-07-04', 'weight': '/organization/dibcom'}
74014	/organization/university-venture-fund	{'date': '2006-11-30', 'weight': '/organization/socialtext'}
79935	/organization/galen-partners	{'date': '2008-02-22', 'weight': '/organization/dakim'}
6794	/organization/palomar-ventures	{'date': '2007-06-11', 'weight': '/organization/wiquest-communications'}
82992	/organization/saif-partners	{'date': '2006-02-01', 'weight': '/organization/china-broad-media'}
88390	/organization/blacksmith-capital	{'date': '2005-09-21', 'weight': '/organization/blue-vector-systems'}
88393	/organization/epcor-water-services	{'date': '2005-02-10', 'weight': '/organization/pionetics'}
27378	/organization/oxford-technology-management	{'date': '2006-09-19', 'weight': '/organization/imagineer-systems'}
46835	/organization/deerfield-management	{'date': '2007-12-10', 'weight': '/organization/third-wave-technologies'}
35062	/person/esther-dyson	{'date': '2008-01-01', 'weight': '/organization/anchorfree'}
101764	/organization/university-venture-fund	{'date': '2006-08-03', 'weight': '/organization/alianza'}
98646	/organization/inter-atlantic-group	{'date': '2005-11-01', 'weight': '/organization/homeowners-of-america-holding'}
98647	/organization/greylock	{'date': '2008-06-17', 'weight': '/organization/linkedin'}
98314	/organization/alta-partners	{'date': '2006-02-16', 'weight': '/organization/isoco'}
97155	/organization/salt-lake-life-science-angels	{'date': '2008-02-15', 'weight': '/organization/q-holdings'}
