	investor	{'date': 'invest_date', 'weight': 'company'}
35544	/organization/benchmark	{'date': '2014-05-05', 'weight': '/organization/optimizely'}
35233	/organization/kleiner-perkins-caufield-byers	{'date': '2014-06-19', 'weight': '/organization/puppet-labs'}
73460	/person/david-sacks	{'date': '2014-05-12', 'weight': '/organization/addepar'}
55292	/organization/fuel-capital	{'date': '2014-05-07', 'weight': '/organization/layer'}
5989	/organization/innodo	{'date': '2014-05-02', 'weight': '/organization/drippler'}
82199	/person/eric-kwan	{'date': '2014-05-01', 'weight': '/organization/artcorgi'}
22264	/organization/angels-den	{'date': '2014-06-27', 'weight': '/organization/warbler'}
61170	/organization/koppicatch	{'date': '2014-06-11', 'weight': '/organization/indooratlas'}
87966	/organization/third-wave-digital	{'date': '2014-06-26', 'weight': '/organization/tastemade'}
43873	/organization/wayra	{'date': '2014-05-12', 'weight': '/organization/virtually-free'}
82226	/person/nicholaus-oostdam	{'date': '2014-05-01', 'weight': '/organization/technorides'}
27375	/organization/biosciences-research-commercialization-center	{'date': '2014-06-09', 'weight': '/organization/axonia-medical'}
88392	/organization/gci	{'date': '2014-06-05', 'weight': '/organization/montage-talent'}
88399	/person/daniel-saul	{'date': '2014-05-14', 'weight': '/organization/mozio'}
98642	/person/mauhan-zonoozy	{'date': '2014-06-02', 'weight': '/organization/bubbl'}
105003	/organization/sv-angel	{'date': '2014-05-13', 'weight': '/organization/solvebio'}
97334	/organization/angelcube	{'date': '2014-06-01', 'weight': '/organization/moodswing'}
97332	/organization/nvm-private-equity	{'date': '2014-06-03', 'weight': '/organization/acal-enterprise-solutions'}
22488	/organization/start-up-chile	{'date': '2014-05-01', 'weight': '/organization/appknox'}
12012	/organization/basf-venture-capital	{'date': '2014-05-08', 'weight': '/organization/arcadia-biosciences'}
26394	/organization/seoul-investment-partners	{'date': '2014-06-27', 'weight': '/organization/imcompany'}
100014	/organization/new-enterprise-associates	{'date': '2014-05-06', 'weight': '/organization/loxo-oncology'}
64672	/organization/wayra	{'date': '2014-05-01', 'weight': '/organization/bevelity'}
52462	/organization/boxgroup	{'date': '2014-05-15', 'weight': '/organization/the-niche-project-inc'}
101941	/organization/ankur-capital	{'date': '2014-05-01', 'weight': '/organization/swiftshift'}
69723	/person/ethan-beard	{'date': '2014-05-02', 'weight': '/organization/kidadmit'}
101948	/organization/wellington-partners	{'date': '2014-05-27', 'weight': '/organization/neuway-pharma'}
24882	/organization/gener8tor	{'date': '2014-05-28', 'weight': '/organization/liv-blends'}
24885	/organization/sands-capital-ventures	{'date': '2014-05-13', 'weight': '/organization/anaplan'}
65502	/organization/the-north-west-fund-for-venture-capital	{'date': '2014-06-10', 'weight': '/organization/geografi'}
26026	/organization/techcolumbus-2	{'date': '2014-05-05', 'weight': '/organization/prevedere'}
45114	/organization/tiger-global	{'date': '2014-05-06', 'weight': '/organization/netshoes'}
45115	/organization/social-starts	{'date': '2014-05-13', 'weight': '/organization/socialrank'}
42832	/organization/felicis-ventures	{'date': '2014-05-06', 'weight': '/organization/allclasses'}
63811	/organization/idg-ventures-usa	{'date': '2014-05-06', 'weight': '/organization/beauty-noted'}
94152	/organization/sapphire-ventures	{'date': '2014-05-20', 'weight': '/organization/jibe'}
38505	/person/joe-lonsdale	{'date': '2014-05-07', 'weight': '/organization/delectable'}
84691	/organization/haxlr8r	{'date': '2014-05-12', 'weight': '/organization/shot-stats'}
84694	/organization/yj-capital	{'date': '2014-05-12', 'weight': '/organization/smileworks-inc-'}
90313	/organization/civeta-investments	{'date': '2014-05-22', 'weight': '/organization/filmijob'}
90318	/organization/draper-fisher-jurvetson	{'date': '2014-05-06', 'weight': '/organization/flux-factory'}
14628	/organization/kima-ventures	{'date': '2014-06-19', 'weight': '/organization/ingrain-io'}
38644	/organization/merus-capital	{'date': '2014-05-05', 'weight': '/organization/perzo'}
58216	/organization/wayra	{'date': '2014-06-01', 'weight': '/organization/minicabit'}
61175	/person/kevin-colleran	{'date': '2014-06-29', 'weight': '/organization/mattermark'}
102714	/organization/andreessen-horowitz	{'date': '2014-05-01', 'weight': '/organization/urban-engines'}
18702	/organization/highway1	{'date': '2014-06-01', 'weight': '/organization/podo'}
78663	/organization/partech-international	{'date': '2014-06-19', 'weight': '/organization/touchofmodern'}
