,investor,company,invest_date
47,/organization/ws-investments,/organization/fidelis-security-systems,2005-05-16
125,/organization/research-triangle-ventures,/organization/respirics,2005-09-27
149,/organization/j-hunt-holdings,/organization/licketyship,2005-06-13
172,/organization/axis-participaciones-empresariales,/organization/bionostra,2005-10-14
225,/organization/hummer-winblad-venture-partners,/organization/cenzic,2005-07-11
237,/organization/still-river-funds,/organization/xelor-software,2005-09-14
242,/organization/mayfield-fund,/organization/packethop,2005-08-08
244,/organization/abingworth-management,/organization/lorantis-ltd,2005-10-19
277,/organization/sternhill-partners,/organization/navini-networks,2005-08-10
291,/organization/longstreet-partners,/organization/videonext,2005-12-02
399,/organization/enterprise-partners,/organization/preventsys,2005-09-12
418,/organization/brocade-communications-systems,/organization/tacit-networks,2005-05-05
484,/organization/comotion-venture-capital,/organization/fios,2005-08-22
488,/organization/mangrove-capital-partners,/organization/securewave,2005-02-03
509,/organization/split-rock-partners,/organization/vendavo,2005-09-07
597,/organization/freshtracks-capital,/organization/vermont-teddy-bear,2005-10-01
600,/organization/advanced-technology-ventures,/organization/nominum,2005-03-22
613,/person/ron-conway,/organization/kaboodle,2005-03-01
622,/organization/samsung-ventures,/organization/gct-semiconductor,2005-11-01
671,/organization/shea-ventures,/organization/metasolv,2005-05-26
693,/organization/trellis-partners,/organization/genband,2005-03-01
717,/organization/star-ventures,/organization/genband,2005-03-01
793,/organization/silicon-valley-bank,/organization/vhayu-technologies,2005-03-17
886,/organization/quilvest-ventures,/organization/frontier-silicon,2005-02-28
923,/organization/minor-ventures,/organization/opendns,2005-11-01
1055,/organization/lothian-partners,/organization/bioaxone-therapeutic,2005-05-20
1074,/organization/capital-partners,/organization/irex-technologies,2005-12-20
1114,/organization/apax-partners,/organization/preventsys,2005-09-12
1170,/organization/sofinnova-partners,/organization/sefas-innovation,2005-05-26
1189,/organization/rre-ventures,/organization/frictionless-commerce,2005-02-07
1291,/organization/summit-partners,/organization/tivoli-audio,2005-05-04
1292,/organization/skylon-advisors,/organization/tropic-networks,2005-05-25
1298,/organization/the-challenge-funds,/organization/coppergate-communications,2005-11-22
1353,/organization/adams-street-partners,/organization/mpex-pharmaceuticals,2005-08-09
1410,/organization/canopy-group,/organization/cogito,2005-02-24
1441,/organization/firelake-capital-management,/organization/pionetics,2005-02-10
1494,/organization/columbia-partners-private-capital,/organization/traffic-com,2005-09-07
1550,/organization/quester-vct,/organization/celoxica,2005-10-24
1591,/organization/apex-venture-partners,/organization/ageia-technologies,2005-10-03
1672,/organization/bv-cornerstone-ventures,/organization/silver-creek-systems,2005-08-01
1718,/organization/sequoia-capital,/organization/cafepress,2005-02-01
1746,/organization/goldman-sachs,/organization/alphion,2005-09-01
1766,/organization/velocity-interactive-group-2,/organization/packethop,2005-08-08
1840,/organization/hambrecht-quist-capital-management,/organization/raven-biotechnologies,2005-10-12
1853,/organization/aquiti-gestion-aquitaine-cration-investissement,/organization/asp64,2005-07-01
1854,/organization/votum-capital,/organization/intechra-holdings,2005-08-29
1873,/organization/njtc-venture-fund,/organization/gaia-power-technologies,2005-10-24
1875,/organization/mitsui,/organization/rf-code,2005-06-21
1881,/organization/benchmark,/organization/mirage-innovations,2005-09-22
2006,/organization/centrecourt-asset-management,/organization/bravosolution,2005-08-16
2048,/organization/evermore-investments,/organization/tier-1-performance,2005-11-11
2054,/organization/mmv-financial,/organization/nakina-systems,2005-04-19
2197,/organization/synergie-finance,/organization/asteel,2005-11-07
2297,/organization/dfj-tamir-fishman-ventures,/organization/voltaire,2005-06-06
2378,/organization/industrifonden,/organization/repeatit,2005-06-01
2443,/organization/grnderfonds,/organization/centerpoint-connective-software-engineering,2005-04-01
2488,/organization/delphi-ventures,/organization/adiana,2005-08-25
2689,/organization/ignition-partners,/organization/rlx-technologies,2005-03-15
2708,/organization/foundation-capital,/organization/codefast,2005-03-15
2736,/organization/karolinska-investment-fund,/organization/nsgene,2005-05-02
2774,/organization/alliance-venture,/organization/xceive,2005-06-29
2797,/organization/austin-ventures,/organization/rlx-technologies,2005-03-15
2807,/organization/mk-capital,/organization/bladelogic,2005-09-14
2808,/organization/accede-capital,/organization/engana-pty,2005-09-26
2862,/organization/western-states-investment-group,/organization/mpex-pharmaceuticals,2005-08-09
2875,/organization/selby-venture-partners,/organization/skypilot-networks,2005-05-16
2878,/organization/hunt-ventures-2,/organization/metacarta,2005-09-08
2914,/organization/siemer-ventures,/organization/make-it-work,2005-11-15
2939,/organization/springbank-techventures,/organization/gotacopy,2005-02-19
2948,/organization/chisholm-private-capital-partners,/organization/metacarta,2005-09-08
2964,/organization/m-c-partners,/organization/secure-media-solutions,2005-03-15
3022,/organization/brentwood-venture-capital,/organization/extraprise,2005-08-23
3048,/organization/sviluppo-imprese-centro-italia,/organization/yogitech,2005-06-09
