,investor,company,invest_date
53102,/organization/crosspoint-venture-partners,/organization/wherenet,2005-01-31
11599,/organization/bay-partners,/organization/wherenet,2005-01-31
49629,/organization/crescendo-ventures,/organization/wherenet,2005-01-31
18464,/organization/rre-ventures,/organization/vieo,2005-01-31
20804,/organization/highland-capital-partners,/organization/smartlink-radio-networks,2005-01-31
93787,/organization/invesco-perpetual,/organization/vieo,2005-01-31
29061,/organization/rho-capital-ventures,/organization/vieo,2005-01-31
73271,/organization/key-venture-partners,/organization/smartlink-radio-networks,2005-01-31
11435,/organization/quester-capital,/organization/critical-pharmaceuticals,2005-01-31
83114,/organization/august-capital,/organization/devicescape,2005-01-31
14337,/organization/invesco-perpetual,/organization/wherenet,2005-01-31
43937,/organization/foundation-capital,/organization/wherenet,2005-01-31
27592,/organization/general-catalyst-partners,/organization/smartlink-radio-networks,2005-01-31
71393,/organization/applied-ventures,/organization/devicescape,2005-01-31
25607,/organization/inter-atlantic-group,/organization/avalon-healthcare-holdings,2005-02-01
25491,/organization/matrix-partners,/organization/blue-lane-technologies,2005-02-01
1718,/organization/sequoia-capital,/organization/cafepress,2005-02-01
31544,/organization/3i-group,/organization/bluelithium,2005-02-01
10269,/organization/palomar-ventures,/organization/gamma-enterprise-technologies,2005-02-01
71445,/organization/allen-and-company,/organization/musicgremlin,2005-02-01
9250,/organization/tvm-capital,/organization/aventeon,2005-02-01
59080,/organization/benchmark,/organization/blue-lane-technologies,2005-02-01
91468,/organization/intel-capital,/organization/aventeon,2005-02-01
44471,/organization/waldenvc,/organization/bluelithium,2005-02-01
70929,/organization/novartis-venture-fund,/organization/covalys-biosciences,2005-02-01
96662,/organization/3i-group,/organization/aventeon,2005-02-01
72232,/organization/vi-partners,/organization/covalys-biosciences,2005-02-01
22254,/organization/erfindungs-verwertung,/organization/covalys-biosciences,2005-02-01
36588,/organization/porton-group,/organization/smart-holograms,2005-02-01
90833,/organization/newspring-capital,/organization/wuxi-apptec,2005-02-01
65220,/organization/arrowpath-venture-partners,/organization/gamma-enterprise-technologies,2005-02-01
35844,/organization/yfm-venture-finance,/organization/celltran,2005-02-01
52066,/organization/commerce-health-capital,/organization/wuxi-apptec,2005-02-01
26998,/organization/wellington-partners,/organization/safe-id-solutions,2005-02-02
61905,/organization/oak-investment-partners,/organization/talisma,2005-02-02
62849,/organization/inovia-capital,/organization/callio-technologies,2005-02-02
86881,/organization/poalim-ventures,/organization/red-bend-software,2005-02-02
87395,/organization/infinity-equity,/organization/red-bend-software,2005-02-02
83030,/organization/best-funds,/organization/assetmetrix-corporation,2005-02-02
97640,/organization/atlas-venture,/organization/safe-id-solutions,2005-02-02
97231,/organization/innovatech-qubec,/organization/callio-technologies,2005-02-02
100973,/organization/basf-venture-capital,/organization/cavis-microcaps,2005-02-03
76797,/organization/index-ventures,/organization/securewave,2005-02-03
25388,/organization/inventages-venture-capital-investment-inc,/organization/cavis-microcaps,2005-02-03
488,/organization/mangrove-capital-partners,/organization/securewave,2005-02-03
52821,/organization/cisco,/organization/corvil,2005-02-04
97059,/organization/austria-wirtschaftsservice,/organization/semanticlabs,2005-02-05
35197,/organization/naxicap-partners,/organization/sagge,2005-02-07
42968,/organization/canaan-partners,/organization/mobilitec,2005-02-07
74322,/organization/accel-partners,/organization/webroot,2005-02-07
1189,/organization/rre-ventures,/organization/frictionless-commerce,2005-02-07
75161,/organization/logispring,/organization/xterprise-solutions,2005-02-07
105080,/organization/lake-street-capital,/organization/frictionless-commerce,2005-02-07
75293,/organization/eqvitec-partners-oy,/organization/codenomicon-ltd,2005-02-07
93355,/organization/mayfield-fund,/organization/webroot,2005-02-07
74703,/organization/prime-technology-ventures,/organization/codenomicon-ltd,2005-02-07
19148,/organization/aig-orion,/organization/mobilitec,2005-02-07
97462,/organization/draper-richards,/organization/frictionless-commerce,2005-02-07
70668,/organization/duchossois-technology-partners,/organization/mobilitec,2005-02-07
61906,/organization/technology-crossover-ventures,/organization/webroot,2005-02-07
55977,/organization/polaris-partners,/organization/frictionless-commerce,2005-02-07
103009,/organization/lucent-venture-partners,/organization/mobilitec,2005-02-07
12751,/organization/advent-international,/organization/gfg-group,2005-02-08
26290,/organization/wellcome-trust,/organization/five-prime-therapeutics,2005-02-08
68617,/organization/advanced-technology-ventures,/organization/five-prime-therapeutics,2005-02-08
18683,/organization/j-p-morgan-securities-inc,/organization/five-prime-therapeutics,2005-02-08
100139,/organization/direct-capital-private-equity,/organization/gfg-group,2005-02-08
104668,/organization/healthcap,/organization/five-prime-therapeutics,2005-02-08
9614,/organization/diamond-capital-company,/organization/five-prime-therapeutics,2005-02-08
57293,/organization/domain-associates,/organization/five-prime-therapeutics,2005-02-08
102467,/organization/capital-resource-partners,/organization/intervalzero,2005-02-08
8337,/organization/singapore-bio-innovations,/organization/five-prime-therapeutics,2005-02-08
88737,/organization/columbia-partners-private-capital,/organization/ibiquity-digital-corporation,2005-02-08
20866,/organization/texas-pacific-group,/organization/five-prime-therapeutics,2005-02-08
100647,/organization/william-blair-new-world-ventures,/organization/vericept,2005-02-09
82104,/organization/sequel,/organization/vericept,2005-02-09
83528,/organization/globespan-capital-partners,/organization/vericept,2005-02-09
5543,/organization/charles-river-ventures,/organization/secure-software,2005-02-10
52249,/organization/carlyle-group,/organization/lvl7-systems,2005-02-10
71214,/organization/updata-partners,/organization/secure-software,2005-02-10
6821,/organization/h-i-g-ventures,/organization/lvl7-systems,2005-02-10
94330,/organization/research-triangle-ventures,/organization/lvl7-systems,2005-02-10
19533,/organization/valhalla-partners,/organization/secure-software,2005-02-10
23511,/organization/ngen-ventures,/organization/pionetics,2005-02-10
1441,/organization/firelake-capital-management,/organization/pionetics,2005-02-10
88393,/organization/epcor-water-services,/organization/pionetics,2005-02-10
50474,/organization/us-venture-partners,/organization/lvl7-systems,2005-02-10
100252,/organization/lighthouse-capital-partners,/organization/lvl7-systems,2005-02-10
43055,/organization/gabriel-venture-partners,/organization/lvl7-systems,2005-02-10
45176,/organization/aster-capital,/organization/microbridge-technologies-canada,2005-02-11
59073,/organization/bdc-venture-capital,/organization/microbridge-technologies-canada,2005-02-11
7543,/organization/lothian-partners,/organization/microbridge-technologies-canada,2005-02-11
37413,/organization/innovatech-qubec,/organization/microbridge-technologies-canada,2005-02-11
91253,/organization/zon-capital-partners,/organization/microbridge-technologies-canada,2005-02-11
27734,/organization/fonds-de-solidarit-ftq,/organization/microbridge-technologies-canada,2005-02-11
82133,/organization/catamount-ventures,/organization/esilicon,2005-02-14
55601,/organization/crossbidge-venture-partners,/organization/esilicon,2005-02-14
96493,/organization/nif-smbc-ventures,/organization/esilicon,2005-02-14
40352,/organization/lightspeed-venture-partners,/organization/traverse-networks,2005-02-14
103014,/organization/north-bridge-venture-partners,/organization/intelliworks,2005-02-14
47716,/organization/cisco,/organization/traverse-networks,2005-02-14
73499,/organization/labrador-ventures,/organization/traverse-networks,2005-02-14
35105,/organization/foundation-capital,/organization/traverse-networks,2005-02-14
57169,/organization/rwi-ventures,/organization/esilicon,2005-02-14
72454,/organization/trinity-ventures,/organization/similarity-systems,2005-02-15
105190,/organization/gemini-israel-funds,/organization/prolify,2005-02-15
103899,/organization/delta-partners,/organization/similarity-systems,2005-02-15
53155,/organization/j-hunt-holdings,/organization/cpacket-networks,2005-02-15
96093,/organization/pitango-venture-capital,/organization/prolify,2005-02-15
35862,/organization/merlin-biomed,/organization/fibrogen,2005-02-16
96441,/organization/sigma-capital,/organization/fibrogen,2005-02-16
90051,/organization/goldman-sachs,/organization/fibrogen,2005-02-16
86788,/organization/adage-capital-management,/organization/fibrogen,2005-02-16
17685,/organization/canopy-group,/organization/directpointe,2005-02-16
80869,/organization/janus,/organization/fibrogen,2005-02-16
40561,/organization/brookside-capital,/organization/fibrogen,2005-02-16
27591,/organization/och-ziff-capital-management,/organization/fibrogen,2005-02-16
71338,/organization/duquesne,/organization/fibrogen,2005-02-16
26059,/organization/biofund-management,/organization/fibrogen,2005-02-16
11368,/organization/corriente-biotechnology-partners,/organization/fibrogen,2005-02-16
94818,/organization/daiwa-smbc-capital,/organization/fibrogen,2005-02-16
62494,/organization/t-rowe-price,/organization/fibrogen,2005-02-16
87845,/organization/apothecary-capital,/organization/fibrogen,2005-02-16
76327,/organization/andcor-companies,/organization/medisyn-technologies,2005-02-17
90158,/organization/sherpa-partners,/organization/medisyn-technologies,2005-02-17
18985,/organization/mti-ventures,/organization/medisyn-technologies,2005-02-17
4888,/organization/portage-capital,/organization/medisyn-technologies,2005-02-17
57239,/organization/startec-investments,/organization/medisyn-technologies,2005-02-17
71836,/organization/morgan-stanley,/organization/ekos-corporation,2005-02-18
59698,/organization/summit-partners,/organization/liquidnet,2005-02-18
2939,/organization/springbank-techventures,/organization/gotacopy,2005-02-19
102120,/organization/foundation-equity-corp,/organization/gotacopy,2005-02-19
36313,/organization/bdc-venture-capital,/organization/diaphonics,2005-02-21
59392,/organization/covington-capital,/organization/diaphonics,2005-02-21
71483,/organization/triax-capital,/organization/diaphonics,2005-02-21
47010,/organization/innovacorp,/organization/diaphonics,2005-02-21
52563,/organization/add-partners,/organization/sequans-communications,2005-02-22
103515,/organization/siemens-venture-capital,/organization/followap,2005-02-22
41983,/organization/israel-corp,/organization/followap,2005-02-22
24109,/organization/uv-partners,/organization/dedicated-devices,2005-02-22
24719,/organization/capdecisif,/organization/sequans-communications,2005-02-22
39286,/organization/entrepreneur-venture,/organization/new-screens,2005-02-22
99244,/organization/carmel-ventures,/organization/followap,2005-02-22
29968,/organization/village-ventures,/organization/dedicated-devices,2005-02-22
95543,/organization/viola-partners,/organization/followap,2005-02-22
21236,/organization/i-source-gestion,/organization/sequans-communications,2005-02-22
52893,/organization/highway-12-ventures,/organization/dedicated-devices,2005-02-22
8413,/organization/star-ventures,/organization/followap,2005-02-22
50402,/organization/sequoia-capital,/organization/followap,2005-02-22
59593,/organization/sg-asset-management-private-equity-2,/organization/sequans-communications,2005-02-22
88139,/organization/palomar-ventures,/organization/dedicated-devices,2005-02-22
10144,/organization/koor-corporate-venture-capital,/organization/followap,2005-02-22
16062,/organization/vision-capital,/organization/sequans-communications,2005-02-22
51877,/organization/northzone-ventures,/organization/t-vips,2005-02-23
83048,/organization/incitia-partners,/organization/t-vips,2005-02-23
79868,/organization/vspring-capital,/organization/cogito,2005-02-24
1410,/organization/canopy-group,/organization/cogito,2005-02-24
86279,/organization/pelion-venture-partners,/organization/cogito,2005-02-24
32924,/organization/epic-ventures,/organization/cogito,2005-02-24
96838,/organization/uv-partners,/organization/cogito,2005-02-24
37319,/organization/ignition-partners,/organization/lockdown-networks,2005-02-25
71724,/organization/integral-capital-partners,/organization/lockdown-networks,2005-02-25
89887,/organization/pentel,/organization/pegasus-technologies,2005-02-26
80139,/organization/hgst,/organization/pegasus-technologies,2005-02-26
77541,/organization/unilever-technology-ventures,/organization/perlegen-sciences,2005-02-28
