,investor,company,invest_date
28173,/organization/speedup-investments,/organization/fusion-sheep,2011-07-31
309,/organization/elaia-partners,/organization/allmyapps,2011-07-31
48734,/organization/peterson-partners,/organization/eyewitness-surveillance,2011-07-31
37730,/organization/shenzhen-capital-group,/organization/bocom-group-business,2011-08-01
23147,/person/joe-lonsdale,/organization/guestmob,2011-08-01
33639,/organization/wasabi-ventures,/organization/invino,2011-08-01
50707,/person/dave-mcclure,/organization/manpacks,2011-08-01
27147,/organization/true-ventures,/organization/bloomspot-com,2011-08-01
42867,/organization/google-ventures,/organization/whale-shark-media,2011-08-01
102564,/organization/credit-suisse,/organization/lotaris,2011-08-01
51207,/person/mark-sugarman,/organization/simply-measured,2011-08-01
7815,/person/william-lohse,/organization/appinions,2011-08-01
37062,/person/jim-larrison,/organization/leadspend-inc,2011-08-01
34094,/organization/start-up-chile,/organization/sanivation,2011-08-01
90138,/organization/morningside-group,/organization/shangpin,2011-08-01
84862,/person/ravin-gandhi,/organization/tred,2011-08-01
48103,/organization/rre-ventures,/organization/venmo,2011-08-01
42837,/organization/estag-capital,/organization/ondango,2011-08-01
26464,/person/tilman-buggenhagen,/organization/ondango,2011-08-01
2583,/organization/enspire-capital,/organization/centec-networks,2011-08-01
34901,/organization/500-startups,/organization/tinfoil-security,2011-08-01
94947,/person/bobby-yazdani,/organization/revel-touch,2011-08-01
93865,/organization/salesforce-ventures,/organization/saaspoint,2011-08-01
102432,/person/greg-vrankovich,/organization/appstores-com,2011-08-01
35473,/organization/tmt-investments,/organization/peekyou,2011-08-01
63654,/organization/monashees-capital,/organization/petsupermarket-com-prod-para-animais,2011-08-01
23381,/organization/anthos-capital,/organization/machine-zone,2011-08-01
42470,/organization/500-startups,/organization/manpacks,2011-08-01
2653,/organization/kleiner-perkins-caufield-byers,/organization/nest-labs,2011-08-01
69126,/organization/steamboat-ventures,/organization/shangpin,2011-08-01
88251,/person/peter-bordes,/organization/leadspend-inc,2011-08-01
94922,/organization/vickers-capital-group,/organization/lotaris,2011-08-01
92982,/organization/kima-ventures,/organization/green-man-gaming,2011-08-01
23915,/organization/techstars,/organization/precog,2011-08-01
71469,/organization/quotidian-ventures,/organization/tapengage,2011-08-01
53338,/person/anand-rajaraman,/organization/joyus,2011-08-01
68045,/person/nick-yang,/organization/heypal,2011-08-01
63388,/organization/techstars,/organization/creative-brain-studios,2011-08-01
27654,/organization/intertrust,/organization/nest-labs,2011-08-01
52820,/organization/draper-fisher-jurvetson,/organization/aegis,2011-08-01
71713,/organization/scout-ventures,/organization/internet-media-labs,2011-08-01
92836,/person/alex-fries,/organization/appstores-com,2011-08-01
101358,/organization/ventureast-tenet-fund,/organization/inopen,2011-08-01
12048,/organization/generation-investment-management,/organization/nest-labs,2011-08-01
72455,/organization/saif-partners,/organization/beijing-xuehuile-s-t-culture-co-ltd,2011-08-01
52502,/organization/rre-ventures,/organization/singleplatform,2011-08-01
94515,/person/chipper-boulas,/organization/manpacks,2011-08-01
48757,/organization/500-startups,/organization/appstores-com,2011-08-01
1520,/organization/infinity,/organization/asymchem-laboratories-tianjin,2011-08-01
52975,/organization/techstars,/organization/rapt-media,2011-08-01
86670,/organization/harrison-metal,/organization/bloomspot-com,2011-08-01
101441,/organization/vaizra-investments,/organization/guestmob,2011-08-01
62557,/organization/galata-??-melekleri,/organization/inploid-corp,2011-08-01
42542,/organization/small-world-group,/organization/heypal,2011-08-01
27952,/organization/qualcomm-ventures,/organization/edupath,2011-08-01
102765,/organization/techstars,/organization/fullcontact,2011-08-01
72000,/organization/incubate-fund,/organization/mytrax,2011-08-01
36971,/organization/techstars,/organization/flextrip,2011-08-01
88043,/organization/blh-venture-partners,/organization/forbes-travel-guide,2011-08-01
37480,/person/igor-matsanyuk,/organization/app-in-the-air,2011-08-01
23012,/organization/infinity,/organization/centec-networks,2011-08-01
88059,/organization/frumtak,/organization/datamarket,2011-08-01
2320,/person/jose-marin,/organization/guestmob,2011-08-01
42292,/organization/nidus-partners,/organization/electrochaea,2011-08-01
103885,/organization/skolkovo-foundation,/organization/kuznech,2011-08-01
68408,/person/timothy-draper,/organization/clearbridge-accelerator,2011-08-01
85096,/organization/first-round-capital,/organization/singleplatform,2011-08-01
33856,/organization/cdh-investments,/organization/beijing-kylin-network-information-science-and-technology-company-of-limited-liability,2011-08-01
62547,/organization/technology-strategy-board,/organization/makielab,2011-08-01
52269,/person/jacques-sandra-kerrest,/organization/okta,2011-08-01
69250,/person/gary-parsons,/organization/bloomspot-com,2011-08-01
102051,/organization/pritzker-group-venture-capital,/organization/singleplatform,2011-08-01
26905,/organization/dfj-gotham-ventures,/organization/singleplatform,2011-08-01
887,/organization/interwest-partners,/organization/bloomspot-com,2011-08-01
86893,/organization/venture51,/organization/manpacks,2011-08-01
7246,/person/david-hauser,/organization/manpacks,2011-08-01
101564,/person/jason-finger,/organization/singleplatform,2011-08-01
86008,/organization/sequoia-capital,/organization/basha,2011-08-01
48625,/person/joel-hyatt,/organization/joyus,2011-08-01
7968,/organization/intel-capital,/organization/bocom-group-business,2011-08-01
37980,/organization/y-combinator,/organization/tapengage,2011-08-01
93446,/organization/kima-ventures,/organization/octoplus,2011-08-01
9616,/organization/lightbank,/organization/cellixis,2011-08-01
23963,/person/sergey-gribov,/organization/kuznech,2011-08-01
1655,/organization/columbia-capital,/organization/bloomspot-com,2011-08-01
64556,/person/cliff-sirlin,/organization/validately,2011-08-01
26607,/organization/sand-hill-angels,/organization/appstores-com,2011-08-01
72740,/person/michael-leeman,/organization/appstores-com,2011-08-01
9813,/organization/start-up-chile,/organization/marker-to,2011-08-01
1650,/organization/greycroft-partners,/organization/venmo,2011-08-01
37966,/person/jeff-giesea,/organization/tred,2011-08-01
37085,/organization/qed-investors,/organization/bloomspot-com,2011-08-01
68255,/organization/start-up-chile,/organization/club-emprende,2011-08-01
67935,/person/sam-yagan,/organization/babbaco,2011-08-01
70029,/organization/teec-angel-fund,/organization/tapengage,2011-08-01
51924,/person/william-lohse,/organization/the-flow,2011-08-01
90395,/person/diverse-business-angels-2,/organization/tvty,2011-08-01
26196,/person/ashish-h-mistry,/organization/forbes-travel-guide,2011-08-01
69343,/organization/kima-ventures,/organization/state,2011-08-01
10258,/organization/tiger-global,/organization/petsupermarket-com-prod-para-animais,2011-08-01
87263,/organization/techstars,/organization/gospotcheck,2011-08-01
22226,/organization/techstars,/organization/meal-ticket,2011-08-01
73438,/organization/nexon,/organization/flaskon,2011-08-01
58080,/person/eric-chen,/organization/guestmob,2011-08-01
79237,/organization/i-free,/organization/pinnatta,2011-08-01
18946,/organization/ideosource,/organization/touchten,2011-08-01
31468,/organization/tiantu-capital,/organization/emotte-it,2011-08-01
97648,/organization/kpg-ventures,/organization/jildy,2011-08-01
16324,/organization/intelectium,/organization/shuttlecloud,2011-08-01
99435,/organization/the-brandery,/organization/keepio,2011-08-01
91913,/organization/morningside-group,/organization/yongche,2011-08-01
31753,/organization/forest-giant,/organization/keepio,2011-08-01
55553,/organization/cherrystone-angel-group,/organization/iteam,2011-08-01
82004,/organization/kima-ventures,/organization/cake-health,2011-08-01
83099,/organization/techstars,/organization/truanttoday,2011-08-01
16348,/organization/oriza-holdings,/organization/centec-networks,2011-08-01
56782,/organization/tomorrow-ventures,/organization/forbes-travel-guide,2011-08-01
81524,/organization/shasta-ventures,/organization/nest-labs,2011-08-01
28685,/person/william-lohse,/organization/socialsamba,2011-08-01
103831,/organization/tencent-industry-win-win-fund,/organization/workec,2011-08-01
17638,/organization/capital-sports-entertainment,/organization/spacecraft,2011-08-01
28207,/person/troy-henikoff,/organization/babbaco,2011-08-01
104894,/organization/matrix-partners,/organization/momo,2011-08-01
103220,/person/william-lohse,/organization/chute,2011-08-01
36710,/person/dave-marmonti,/organization/spacecraft,2011-08-01
55898,/person/valery-senko,/organization/kuznech,2011-08-01
33194,/organization/sandbox-industries,/organization/babbaco,2011-08-01
44077,/organization/qualcomm-ventures,/organization/yongche,2011-08-01
36236,/person/john-goldsmith,/organization/fundraise-com,2011-08-01
56929,/organization/level-equity,/organization/mixbook,2011-08-01
19980,/organization/shenzhen-capital-group,/organization/beijing-union-cast-network-technology-co-ltd,2011-08-01
103183,/organization/intel-capital,/organization/beijing-joysee-interaction-science-and-technology-co-ltd,2011-08-01
84137,/organization/kaszek-ventures,/organization/petsupermarket-com-prod-para-animais,2011-08-01
66211,/organization/tandem-capital-2,/organization/gimmie,2011-08-01
59682,/organization/nxtp-labs,/organization/groovinads,2011-08-01
32239,/person/dylan-parker,/organization/manpacks,2011-08-01
73294,/organization/shenzhen-capital-group,/organization/shenzhen-globalegrow-e-commerce,2011-08-01
98644,/organization/founders-co-op,/organization/simply-measured,2011-08-01
78158,/organization/floodgate,/organization/okta,2011-08-01
56730,/organization/participatiemaatschappij-vlaanderen,/organization/dink,2011-08-01
58219,/person/brian-koo,/organization/guestmob,2011-08-01
80203,/organization/centuria-ventures,/organization/venturepax,2011-08-01
80684,/organization/zelkova-ventures,/organization/appstores-com,2011-08-01
48971,/organization/transmedia-capital,/organization/appstores-com,2011-08-01
56762,/person/ed-roberts,/organization/okta,2011-08-01
96276,/organization/techstars,/organization/mocavo,2011-08-01
41728,/person/venky-harinarayan,/organization/joyus,2011-08-01
8691,/organization/founderfuel,/organization/imageids,2011-08-01
59540,/person/peter-bordes,/organization/internet-media-labs,2011-08-01
9225,/person/adam-mcnamara,/organization/manpacks,2011-08-01
32588,/organization/avg-ventures,/organization/visiblegains,2011-08-01
56468,/person/paul-singh,/organization/manpacks,2011-08-01
81102,/organization/draper-fisher-jurvetson,/organization/jildy,2011-08-01
41813,/organization/kima-ventures,/organization/manpacks,2011-08-01
20406,/organization/shenzhen-capital-group,/organization/beijing-kylin-network-information-science-and-technology-company-of-limited-liability,2011-08-01
78028,/organization/mvm-life-science-partners,/organization/beacon-endoscopic,2011-08-01
56179,/organization/seedcamp,/organization/holvi,2011-08-01
75516,/organization/inter-atlantic-group,/organization/ceannate,2011-08-01
30067,/organization/steamboat-ventures,/organization/bloomspot-com,2011-08-01
3283,/person/david-beyer,/organization/manpacks,2011-08-01
321,/organization/enterprise-ireland,/organization/brandtone,2011-08-01
30087,/organization/s3-ventures,/organization/kimbia,2011-08-01
57633,/organization/lightspeed-venture-partners,/organization/nest-labs,2011-08-01
83772,/person/luc-levesque,/organization/manpacks,2011-08-01
4463,/organization/gimv,/organization/xl-video,2011-08-01
25258,/person/tom-berson,/organization/okta,2011-08-01
40191,/organization/western-technology-investment,/organization/bloomspot-com,2011-08-01
54805,/organization/baseline-ventures,/organization/machine-zone,2011-08-01
60431,/organization/greycroft-partners,/organization/validately,2011-08-01
19261,/organization/techstars,/organization/socialengine,2011-08-01
25296,/organization/fidelity-growth-partners-asia,/organization/jiathis,2011-08-01
96567,/organization/accel-partners,/organization/venmo,2011-08-01
59059,/person/safa-rashtchy,/organization/cellixis,2011-08-01
73213,/organization/idg-ventures-usa,/organization/tinfoil-security,2011-08-01
38633,/person/steve-bennet,/organization/appstores-com,2011-08-01
36526,/person/dan-martell,/organization/manpacks,2011-08-01
80421,/person/gary-vaynerchuk,/organization/babbaco,2011-08-01
81758,/person/erik-blachford,/organization/bloomspot-com,2011-08-01
56820,/organization/warburg-pincus,/organization/xiu-com,2011-08-01
4596,/person/nihal-mehta,/organization/validately,2011-08-01
49347,/person/farzad-nazem,/organization/cellixis,2011-08-01
9281,/organization/webb-investment-network,/organization/okta,2011-08-01
30000,/organization/techstars,/organization/inboxfever,2011-08-01
38089,/organization/the-brandery,/organization/venturepax,2011-08-01
83891,/organization/signatures-capital,/organization/revel-touch,2011-08-01
28902,/organization/menlo-ventures,/organization/bloomspot-com,2011-08-01
80440,/person/erik-matlick,/organization/leadspend-inc,2011-08-01
6334,/organization/ibbt-iventures-fund,/organization/dink,2011-08-01
97938,/organization/dt-capital-partners,/organization/centec-networks,2011-08-01
83385,/organization/tiantu-capital,/organization/leader-tech-beijing-digital-technology-company-limited,2011-08-01
24709,/organization/lerer-ventures,/organization/venmo,2011-08-01
100057,/organization/matrix-partners-china,/organization/aegis,2011-08-01
20385,/person/mario-brockmann,/organization/ondango,2011-08-01
67832,/organization/eurofin-ventures,/organization/lotaris,2011-08-01
46711,/organization/betaspring,/organization/manpacks,2011-08-01
44292,/organization/atlas-venture,/organization/fundraise-com,2011-08-01
17950,/person/anthony-soohoo,/organization/appstores-com,2011-08-01
78502,/organization/sv-angel,/organization/shuttlecloud,2011-08-01
65890,/person/mark-kingdon,/organization/appstores-com,2011-08-01
15528,/person/fabrice-grinda,/organization/guestmob,2011-08-01
97400,/organization/traversant,/organization/keepio,2011-08-01
34770,/organization/amgen,/organization/oncofactor-corporation,2011-08-02
32463,/organization/quotidian-ventures,/organization/stypi,2011-08-02
28876,/organization/y-combinator,/organization/glassmap,2011-08-02
50959,/organization/rre-ventures,/organization/spanfeller-media-group,2011-08-02
56886,/organization/y-combinator,/organization/b2brev,2011-08-02
17763,/organization/y-combinator,/organization/paperlinks,2011-08-02
36994,/person/aaron-iba,/organization/stypi,2011-08-02
69300,/organization/y-combinator,/organization/cantwait,2011-08-02
103378,/organization/y-combinator,/organization/leaky,2011-08-02
21537,/organization/llr-partners,/organization/vectorlearning,2011-08-02
77418,/organization/y-combinator,/organization/picplum,2011-08-02
88986,/organization/dfj-growth,/organization/twitter,2011-08-02
4910,/organization/exome-capital,/organization/appistry-inc,2011-08-02
16566,/organization/y-combinator,/organization/zigfu,2011-08-02
43152,/organization/y-combinator,/organization/yardsale,2011-08-02
68015,/organization/oak-investment-partners,/organization/firstrain,2011-08-02
26158,/organization/kleiner-perkins-caufield-byers,/organization/erly,2011-08-02
37249,/organization/y-combinator,/organization/vimessa,2011-08-02
100361,/organization/y-combinator,/organization/opez,2011-08-02
58943,/organization/stuart-mill-venture-partners,/organization/appistry-inc,2011-08-02
64847,/organization/finlombarda-gestioni-sgr,/organization/laura-sapiens,2011-08-02
21496,/organization/y-combinator,/organization/stypi,2011-08-02
45631,/person/alwaleed-bin-talal,/organization/twitter,2011-08-02
3401,/person/michael-orsak,/organization/choozon,2011-08-02
55236,/organization/biostar-private-equity,/organization/ellipse-technologies,2011-08-02
63076,/organization/arch-venture-partners,/organization/oncofactor-corporation,2011-08-02
16278,/organization/digital-sky-technologies-fo,/organization/twitter,2011-08-02
99849,/organization/lerer-ventures,/organization/spanfeller-media-group,2011-08-02
96043,/organization/five-elms-capital,/organization/campus-book-rental,2011-08-02
51299,/organization/hbm-bioventures,/organization/ellipse-technologies,2011-08-02
20013,/organization/warehouse-investimentos,/organization/ifood,2011-08-02
71642,/organization/y-combinator,/organization/zenbox,2011-08-02
23089,/organization/y-combinator,/organization/marketbrief,2011-08-02
49209,/organization/y-combinator,/organization/debteye,2011-08-02
82439,/person/james-brown,/organization/choozon,2011-08-02
10263,/organization/y-combinator,/organization/munch-on-me-inc,2011-08-02
46038,/organization/level-equity,/organization/campus-book-rental,2011-08-02
40906,/organization/accelerator-corp,/organization/oncofactor-corporation,2011-08-02
22593,/organization/wexford-capital,/organization/ellipse-technologies,2011-08-02
28991,/organization/wrf-capital,/organization/oncofactor-corporation,2011-08-02
104909,/organization/cherokee-walker,/organization/campus-book-rental,2011-08-02
52937,/organization/jumpstartinc,/organization/segmint,2011-08-02
14998,/organization/university-of-cambridge-enterprise,/organization/pneumacare,2011-08-02
60922,/organization/mizuho-capital-co-ltd,/organization/iridge,2011-08-02
66672,/organization/y-combinator,/organization/agilemd,2011-08-02
81281,/organization/medfocus,/organization/ellipse-technologies,2011-08-02
60127,/organization/idg-capital-partners,/organization/minus,2011-08-02
80943,/organization/y-combinator,/organization/proxino,2011-08-02
65478,/organization/steamboat-ventures,/organization/cc-video,2011-08-02
92269,/organization/t-rowe-price,/organization/twitter,2011-08-02
25476,/organization/acton-capital-partners,/organization/bueroservice24,2011-08-02
80466,/organization/alexandria-real-estate-equities,/organization/oncofactor-corporation,2011-08-02
62336,/organization/y-combinator,/organization/pagelever,2011-08-02
68516,/organization/lowercase-capital,/organization/twitter,2011-08-02
